Dia,Hora,EntExt,SalExt,OcupExt,EntCent,SalCent,OcupCent,EntPoli,SalPoli,OcupPoli,EntTotal,SalTotal,OcupTotal,Rechazados
Lunes 9,07:00 - 08:00,31,0,31,23,0,23,26,0,26,80,0,80,0
Lunes 9,08:00 - 09:00,25,0,56,19,0,42,20,0,46,64,0,144,1
Lunes 9,09:00 - 10:00,19,0,75,16,0,58,14,0,60,49,0,193,1
Lunes 9,10:00 - 11:00,23,4,94,11,5,64,12,5,67,46,14,225,1
Lunes 9,11:00 - 12:00,10,9,95,9,12,61,15,11,71,34,32,227,1
Lunes 9,12:00 - 13:00,9,20,85,4,12,53,9,16,64,22,48,202,1
Lunes 9,13:00 - 14:00,6,18,73,6,10,49,12,17,59,24,45,181,1
Lunes 9,14:00 - 15:00,10,23,59,16,16,49,14,12,61,40,51,169,1
Lunes 9,15:00 - 16:00,14,17,56,8,8,49,13,16,58,35,41,163,1
Lunes 9,16:00 - 17:00,18,18,56,7,9,47,12,13,57,37,40,160,1
Lunes 9,17:00 - 18:00,33,11,78,25,13,59,30,10,77,88,34,214,2
Lunes 9,18:00 - 19:00,27,7,98,23,13,70,27,13,91,77,33,259,4
Lunes 9,19:00 - 20:00,11,9,100,11,7,73,14,14,91,36,30,264,4
Lunes 9,20:00 - 21:00,15,23,92,7,7,73,12,12,91,34,42,256,4
Lunes 9,21:00 - 22:00,6,16,82,10,17,67,10,20,81,26,53,230,4
Lunes 9,22:00 - 23:00,0,22,61,0,18,48,0,22,59,0,62,168,4
Lunes 9,23:00 - 00:00,0,25,35,0,17,31,0,26,34,0,68,100,4
Martes 10,00:00 - 01:00,0,16,20,0,17,14,0,9,24,0,42,58,4
Martes 10,01:00 - 02:00,0,9,10,0,7,7,0,11,14,0,27,31,4
Martes 10,02:00 - 03:00,0,10,0,0,6,1,0,8,6,0,24,7,4
Martes 10,03:00 - 04:00,0,0,0,0,1,0,0,5,1,0,6,1,4
Martes 10,07:00 - 08:00,29,0,29,18,0,18,38,0,38,85,0,85,10
Martes 10,08:00 - 09:00,32,0,61,19,0,37,17,0,55,68,0,153,10
Martes 10,09:00 - 10:00,17,0,78,11,0,48,9,0,64,37,0,190,10
Martes 10,10:00 - 11:00,13,5,86,12,7,53,11,6,69,36,18,208,10
Martes 10,11:00 - 12:00,18,19,86,7,4,56,9,14,64,34,37,206,10
Martes 10,12:00 - 13:00,6,13,78,5,11,51,10,17,57,21,41,186,10
Martes 10,13:00 - 14:00,12,16,74,5,14,41,8,15,50,25,45,165,10
Martes 10,14:00 - 15:00,10,20,64,13,12,43,21,16,55,44,48,162,10
Martes 10,15:00 - 16:00,15,18,61,7,13,36,12,11,57,34,42,154,10
Martes 10,16:00 - 17:00,13,18,56,11,6,41,17,8,65,41,32,162,10
Martes 10,17:00 - 18:00,33,17,73,30,9,62,36,13,88,99,39,223,13
Martes 10,18:00 - 19:00,35,9,98,22,11,73,15,12,91,72,32,262,16
Martes 10,19:00 - 20:00,14,12,100,6,6,73,8,8,91,28,26,264,16
Martes 10,20:00 - 21:00,15,15,100,10,10,73,18,18,91,43,43,264,16
Martes 10,21:00 - 22:00,13,19,95,13,13,73,22,32,81,48,64,249,16
Martes 10,22:00 - 23:00,0,25,69,0,19,55,0,15,66,0,59,190,16
Martes 10,23:00 - 00:00,0,24,45,0,20,34,0,21,46,0,65,125,16
Miercoles 11,00:00 - 01:00,0,19,26,0,7,27,0,18,28,0,44,81,16
Miercoles 11,01:00 - 02:00,0,8,18,0,16,11,0,14,14,0,38,43,16
Miercoles 11,02:00 - 03:00,0,13,5,0,7,4,0,7,7,0,27,16,16
Miercoles 11,03:00 - 04:00,0,5,1,0,3,1,0,5,1,0,13,3,16
Miercoles 11,04:00 - 05:00,0,0,0,0,0,1,0,1,1,0,1,2,16
Miercoles 11,05:00 - 06:00,0,0,0,0,1,1,0,0,0,0,1,1,16
Miercoles 11,07:00 - 08:00,28,0,28,28,0,28,21,0,21,77,0,77,17
Miercoles 11,08:00 - 09:00,37,0,65,23,0,51,25,0,46,85,0,162,17
Miercoles 11,09:00 - 10:00,13,0,78,6,0,57,17,0,63,36,0,198,17
Miercoles 11,10:00 - 11:00,15,4,89,6,4,60,15,5,73,36,13,222,17
Miercoles 11,11:00 - 12:00,20,15,94,9,14,54,12,9,77,41,38,225,17
Miercoles 11,12:00 - 13:00,8,20,82,9,13,51,8,11,73,25,44,206,17
Miercoles 11,13:00 - 14:00,5,14,74,8,15,43,6,29,50,19,58,167,17
Miercoles 11,14:00 - 15:00,11,21,63,8,11,40,10,17,44,29,49,147,17
Miercoles 11,15:00 - 16:00,9,21,52,8,8,40,18,11,50,35,40,142,17
Miercoles 11,16:00 - 17:00,19,14,56,6,5,41,7,11,46,32,30,143,17
Miercoles 11,17:00 - 18:00,31,13,74,28,10,60,29,6,69,88,29,203,19
Miercoles 11,18:00 - 19:00,32,7,99,23,9,73,32,10,91,87,26,263,22
Miercoles 11,19:00 - 20:00,16,15,100,6,6,73,9,9,91,31,30,264,22
Miercoles 11,20:00 - 21:00,9,9,100,16,16,73,13,13,91,38,38,264,22
Miercoles 11,21:00 - 22:00,19,19,100,11,11,73,9,22,79,39,52,252,22
Miercoles 11,22:00 - 23:00,3,28,75,4,14,63,0,24,55,7,66,193,22
Miercoles 11,23:00 - 00:00,0,23,52,0,21,43,0,12,42,0,56,137,22
Jueves 12,00:00 - 01:00,0,17,35,0,12,30,0,16,27,0,45,92,22
Jueves 12,01:00 - 02:00,0,22,13,0,12,18,0,19,8,0,53,39,22
Jueves 12,02:00 - 03:00,0,7,6,0,13,5,0,5,3,0,25,14,22
Jueves 12,03:00 - 04:00,0,4,3,0,3,2,0,2,0,0,9,5,22
Jueves 12,04:00 - 05:00,0,2,1,0,2,0,0,0,0,0,4,1,22
Jueves 12,07:00 - 08:00,39,0,39,23,0,23,24,0,24,86,0,86,24
Jueves 12,08:00 - 09:00,21,0,60,15,0,38,21,0,45,57,0,143,25
Jueves 12,09:00 - 10:00,16,0,76,6,1,44,18,0,63,40,1,183,26
Jueves 12,10:00 - 11:00,15,8,83,12,2,53,16,8,72,43,18,208,26
Jueves 12,11:00 - 12:00,9,11,81,13,10,56,12,8,76,34,29,213,28
Jueves 12,12:00 - 13:00,6,17,70,5,8,54,6,18,63,17,43,187,28
Jueves 12,13:00 - 14:00,7,13,64,7,18,42,11,15,59,25,46,165,28
Jueves 12,14:00 - 15:00,15,21,59,11,6,47,14,17,56,40,44,162,28
Jueves 12,15:00 - 16:00,9,13,54,14,19,42,16,11,61,39,43,157,28
Jueves 12,16:00 - 17:00,16,15,55,17,4,55,23,14,70,56,33,180,31
Jueves 12,17:00 - 18:00,29,10,74,19,9,65,25,10,85,73,29,224,32
Jueves 12,18:00 - 19:00,23,10,87,17,9,73,14,8,91,54,27,251,33
Jueves 12,19:00 - 20:00,12,6,93,8,8,73,18,18,91,38,32,257,34
Jueves 12,20:00 - 21:00,12,15,91,10,10,73,13,13,91,35,38,255,34
Jueves 12,21:00 - 22:00,9,26,73,7,33,48,6,23,74,22,82,195,34
Jueves 12,22:00 - 23:00,0,25,49,0,11,36,0,20,54,0,56,139,34
Jueves 12,23:00 - 00:00,0,20,29,0,8,28,0,20,34,0,48,91,34
Viernes 13,00:00 - 01:00,0,12,16,0,13,15,0,18,17,0,43,48,34
Viernes 13,01:00 - 02:00,0,8,9,0,13,2,0,7,9,0,28,20,34
Viernes 13,02:00 - 03:00,0,1,7,0,1,1,0,7,3,0,9,11,34
Viernes 13,03:00 - 04:00,0,5,3,0,1,0,0,2,0,0,8,3,34
Viernes 13,04:00 - 05:00,0,2,1,0,0,0,0,0,0,0,2,1,34
Viernes 13,07:00 - 08:00,28,0,28,22,0,22,35,0,35,85,0,85,36
Viernes 13,08:00 - 09:00,21,0,49,12,0,34,26,0,61,59,0,144,36
